"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
137,"SD126094",38.939302,-122.686668,1946,"aug","31-Aug","r",8,8,"1946_08",-232625.442175559,105889.346953927,586
138,"SD126139",34.433,-119.759,1952,"sep","2-Sep","nr",9,9,"1952_09",22142.5922571991,-398098.307787335,48
139,"SD146222",33.866,-117.05,1999,"oct","15-Oct","nr",10,10,"1999_10",272953.521343043,-456782.594025768,436
140,"SD156298",32.892,-116.766,2002,"aug","2-Aug","r",8,8,"2002_08",302903.142707157,-563820.263407528,305
141,"SD24138",32.705574,-116.989131,1939,"jan","28-Jan","r",1,1,"1939_01",282667.113746121,-585145.532084235,91
142,"SD42226",37.641,-120.756,1940,"nov","6-Nov","nr",11,11,"1940_11",-66617.210739498,-41462.5341973226,52
143,"SDSU12570",33.251,-116.789,1996,"may","7-May","nr",5,5,"1996_05",299402.868781782,-524140.692878034,788
144,"SEINET1004970",38.44972,-120.89361,2006,"oct","23-Oct","nr",10,10,"2006_10",-77895.448700999,48540.7216099282,209
145,"SFV1134",38.52,-121.77,1965,"jul","16-Jul","nr",7,7,"1965_07",-154137.320073079,57424.832736698,17
146,"SJSU1564",40.829,-121.512,1954,"jun","23-Jun","nr",6,6,"1954_06",-127580.901323751,313537.257294212,1008
147,"UC1106145",37.941494,-122.636047,1946,"nov","24-Nov","r",11,11,"1946_11",-231327.066070065,-5107.11224922072,301
148,"UC115338",34.052,-118.242,1893,"aug","6-Aug","nr",8,8,"1893_08",162296.196909733,-438894.101815682,86
149,"UC1191371",41.241,-124.084,1949,"aug","11-Aug","nr",8,8,"1949_08",-342542.347100104,365625.616907797,61
150,"UC1191372",35.328,-119.375,1948,"aug","24-Aug","nr",8,8,"1948_08",56768.3731827971,-298578.085714258,88
151,"UC1191373",37.315,-120.932,1948,"jul","21-Jul","nr",7,7,"1948_07",-82481.7677337125,-77562.2135118153,19
152,"UC1191374",39.074,-122.911,1946,"jul","27-Jul","r",7,7,"1946_07",-251583.788152104,121426.648022658,404
153,"UC1299373",39.056,-122.929,1949,"sep","24-Sep","r",9,9,"1949_09",-253200.743685969,119474.954606785,443
154,"UC1543025",33.65,-117.92,1936,"jul","26-Jul","nr",7,7,"1936_07",192996.434695727,-482864.912725486,25
155,"UC1561215",38.076,-122.754,1988,"oct","29-Oct","r",10,10,"1988_10",-241240.93492381,10133.3898532134,89
156,"UC1561423",38.655,-119.529,1986,"sep","4-Sep","r",9,9,"1986_09",40943.8662875553,71094.0293723787,1531
157,"UC1562289",39.518,-121.343,1990,"jul","4-Jul","nr",7,7,"1990_07",-115384.484969047,167723.581691478,306
158,"UC1563682",39.85,-122.404,1989,"oct","21-Oct","nr",10,10,"1989_10",-205590.328745358,206401.238837795,175
159,"UC1563945",39.261,-123.114,1989,"sep","24-Sep","nr",9,9,"1989_09",-268439.51242997,142755.648154489,269
160,"UC1563946",39.8507,-122.4042,1989,"oct","24-Sep","nr",10,10,"1989_10",-205605.457215645,206479.416233712,175
161,"UC1745630",38.805,-121.299,1945,"nov","4-Nov","nr",11,11,"1945_11",-112690.113514352,88437.4720972707,35
162,"UC1949293",40.272,-122.517,1991,"jul","5-Jul","nr",7,7,"1991_07",-214007.534200608,253512.172337856,220
163,"UC204576",39.612,-121.605,1914,"jun","2-Jun","nr",6,6,"1914_06",-137715.551921606,178517.021751491,132
164,"UC205476",41.227,-123.649,1920,"aug","15-Aug","nr",8,8,"1920_08",-306135.926382062,362585.276510405,98
165,"UC229833",40.94,-123.628,1921,"oct","16-Oct","nr",10,10,"1921_10",-305593.53951029,330689.163754879,189
166,"UC421564",37.491,-120.529,1929,"jul","21-Jul","nr",7,7,"1929_07",-46707.7153206709,-58272.6194411842,57
167,"UC465730",37.815,-121.284,1907,"sep","8-Sep","nr",9,9,"1907_09",-112879.301439438,-21620.7850453234,5
168,"UC489246",33.175681,-116.993665,1928,"aug","28-Aug","nr",8,8,"1928_08",280590.552841255,-533108.832220059,453
169,"UC579902",38.63,-121.26,1933,"sep","9-Sep","nr",9,9,"1933_09",-109565.51889407,68941.478765694,31
170,"UC596424",37.393,-121.072,1934,"sep","15-Sep","nr",9,9,"1934_09",-94773.2022655443,-68761.1642044946,34
171,"UC596425",37.639,-120.995,1934,"oct","21-Oct","nr",10,10,"1934_10",-87679.066559461,-41490.3763074339,27
172,"UC635039",39.003708,-122.768501,1930,"aug","","r",8,8,"1930_08",-239499.972613892,113248.609536802,602
173,"UC637082",39.212,-122.182,1934,"aug","9-Aug","nr",8,8,"1934_08",-188239.842318508,135067.439578507,23
174,"UC657725",39.825,-123.115,1941,"jun","28-Jun","nr",6,6,"1941_06",-266466.978859785,205394.984016509,428
175,"UC71771",39.403,-122.01,1905,"sep","14-Sep","nr",9,9,"1905_09",-172953.851838955,155960.642253942,24
176,"UC72588",38.605,-122.859,1896,"sep","15-Sep","nr",9,9,"1896_09",-248662.80734208,69184.0352273495,28
177,"UC75505",40.514,-122.281,1898,"jul","4-Jul","nr",7,7,"1898_07",-193299.216825463,279871.751262567,148
178,"UC766178",37.399,-120.849,1934,"oct","21-Oct","nr",10,10,"1934_10",-75052.8779668994,-68293.9447310478,29
179,"UC7699",38.61,-122.868,1897,"jun","","nr",6,6,"1897_06",-249428.537692407,69763.2114175791,33
180,"UC7705",34.116,-118.179,1893,"sep","15-Sep","nr",9,9,"1893_09",167975.213127575,-431685.94693404,185
